customer_id,product_name,product_category,price,quantity,total_price,purchase_date,shipping_address,payment_method,status
1,Cacao Nibs,Food - Baking,198.05,18,3564.9,4/19/2020,99 Eastwood Court,cash on delivery,pending
2,Feta Cheese Crumbles,Food - Dairy,29.45,17,500.65,5/6/2020,83 Butterfield Court,credit card,pending
3,Wireless Charger,Accessories,365.01,81,29565.81,11/13/2021,3146 Sycamore Parkway,cash on delivery,pending
4,Balsamic Glaze,Food - Condiments,61.43,14,860.02,6/7/2020,9074 Mallard Lane,credit card,delivered
5,Garlic Parmesan Wings,Food - Frozen Foods,943.71,20,18874.2,12/3/2022,964 Myrtle Place,PayPal,shipped
6,Pet Bed with Removable Cover,Pets,800.93,13,10412.09,5/7/2022,3 Miller Drive,cash on delivery,delivered
7,Portable Air Purifier,Health,545.52,53,28912.56,4/7/2022,9157 Talisman Parkway,credit card,delivered
8,Sweet BBQ Dipping Sauce,Food - Condiments,48.35,42,2030.7,11/4/2022,37640 Northland Circle,PayPal,pending
9,Canned Black Beans,Food - Canned Goods,120.3,91,10947.3,12/23/2020,5 Vera Plaza,cash on delivery,shipped
10,LED Flashing Pet Collar,Pets,936.68,75,70251.0,4/28/2020,1 Heffernan Junction,cash on delivery,delivered
11,Kids' Dinosaur-Themed Lunchbox,Accessories,328.42,47,15435.74,10/8/2021,1 Jay Terrace,cash on delivery,delivered
12,Board Game,Toys,330.55,7,2313.85,11/29/2021,1089 Waubesa Plaza,PayPal,delivered
13,Ground Cinnamon,Food - Spices,845.18,94,79446.92,11/14/2022,9 Ryan Hill,cash on delivery,pending
14,Comfortable Bed Pillow,Home,860.95,100,86095.0,2/1/2021,93 Lunder Road,PayPal,pending
15,Cranberry Orange Oatmeal,Food - Breakfast,676.02,28,18928.56,3/15/2021,76 Packers Court,credit card,shipped
16,Sweetened Condensed Milk,Food - Baking Goods,190.2,76,14455.2,8/8/2021,087 Blaine Place,credit card,pending
17,Folding Backpack Chair,Outdoor,726.97,31,22536.07,1/1/2020,0 Graceland Trail,cash on delivery,pending
18,Essential Oil Diffuser,Health,501.17,85,42599.45,12/18/2022,65307 Quincy Lane,credit card,pending
19,Smartphone Holder for Car,Automotive,852.99,50,42649.5,10/18/2022,02 Sunnyside Place,cash on delivery,pending
20,Chewy Granola Bars,Food - Snacks,301.57,75,22617.75,8/16/2020,560 Amoth Pass,credit card,delivered
21,Microfiber Cleaning Cloth Set,Home,843.06,99,83462.94,1/8/2022,078 Green Ridge Lane,PayPal,delivered
22,Canvas Tote Bag,Clothing - Accessories,187.71,82,15392.22,11/1/2021,948 Mayfield Hill,credit card,pending
23,Pet Leash,Pets,207.34,21,4354.14,2/24/2021,08497 Center Plaza,credit card,shipped
24,Portable USB-C Monitor,Electronics,778.07,9,7002.63,5/15/2021,2 Jenifer Point,cash on delivery,delivered
25,Hot Dog Buns,Food - Bakery,290.37,72,20906.64,12/4/2021,4 Raven Street,credit card,delivered
26,Sweet and Sour Sauce,Food - Condiments,222.27,86,19115.22,5/18/2020,87360 Canary Place,cash on delivery,processing
27,Wine Decanter,Home,243.1,8,1944.8,4/25/2021,88 Sundown Park,cash on delivery,pending
28,Teriyaki Stir-Fry Sauce,Food - Condiments,774.4,86,66598.4,5/25/2021,37852 Kennedy Alley,credit card,shipped
29,Travel Mug,Kitchen,599.41,15,8991.15,6/3/2020,2 Dottie Place,cash on delivery,pending
30,Brown Sugar,Food - Baking,374.7,43,16112.1,8/21/2020,151 Ridge Oak Park,credit card,processing
31,LED Strip Lights with Remote Control,Home,69.74,16,1115.84,3/20/2020,9147 Eagan Center,cash on delivery,shipped
32,Tailgating Set,Outdoor,537.34,22,11821.48,2/5/2021,9 Grim Parkway,PayPal,shipped
33,Granola Cereal,Food - Breakfast,889.52,24,21348.48,10/5/2022,7852 Hallows Parkway,PayPal,pending
34,Fruit and Nut Energy Bites,Food - Snacks,261.56,48,12554.88,11/11/2022,016 Knutson Lane,credit card,processing
35,Vegetable Fried Rice Mix,Food - Frozen Food,459.79,93,42760.47,12/3/2022,1 Fuller Parkway,credit card,shipped
36,Window A/C Unit,Home Appliances,210.16,94,19755.04,7/3/2021,2 Bartelt Lane,PayPal,pending
37,LED Desk Lamp with USB Charging Port,Office,791.94,73,57811.62,4/3/2021,0731 Warner Plaza,PayPal,pending
38,Apple Cinnamon Oatmeal,Food - Breakfast,766.38,13,9962.94,9/15/2022,16 Ridge Oak Terrace,cash on delivery,shipped
39,Stylish Wide-Leg Trousers,Clothing - Bottoms,953.26,35,33364.1,2/17/2021,23992 Prairie Rose Terrace,credit card,delivered
40,Organic Green Apples,Food - Produce,745.15,82,61102.3,11/16/2021,1513 Iowa Lane,credit card,processing
41,Pet Safety Harness,Pets,296.35,1,296.35,8/14/2020,48999 Lawn Point,PayPal,shipped
42,Vegan Chocolate Cake Mix,Food - Baking,504.63,79,39865.77,6/5/2021,0 Lunder Crossing,PayPal,processing
43,Instant Mashed Potatoes,Food - Sides,46.46,81,3763.26,11/29/2022,69 Everett Plaza,PayPal,shipped
44,Robot Vacuum Cleaner,Home Appliances,53.4,62,3310.8,12/26/2022,01 Pine View Alley,PayPal,processing
45,Garden Kneeler and Seat,Garden,615.57,77,47398.89,11/17/2020,26611 Susan Hill,PayPal,shipped
46,Wooden Children's Play Kitchen,Toys,228.05,79,18015.95,3/24/2022,3164 Di Loreto Drive,credit card,pending
47,Luminous Night Light,Home,236.87,53,12554.11,12/14/2021,92 Talisman Road,PayPal,processing
48,Vegetable Sushi Rolls,Food - Prepared Meals,667.78,80,53422.4,7/6/2022,402 Lillian Terrace,PayPal,delivered
49,Magic Color-Changing Mug,Kitchen,986.12,49,48319.88,9/3/2021,5967 Luster Center,cash on delivery,shipped
50,Luminous Night Light,Home,280.34,34,9531.56,1/11/2020,0 Elgar Street,cash on delivery,processing
51,Mini Air Hockey Table,Toys,550.0,86,47300.0,11/14/2021,75064 Merry Plaza,cash on delivery,delivered
52,Smartphone Projector Kit,Electronics,781.38,96,75012.48,10/7/2021,04 Eastwood Terrace,PayPal,shipped
53,Herbal Tea Sampler Box,Food,928.61,80,74288.8,4/26/2022,2878 Lyons Street,cash on delivery,delivered
54,Handcrafted Wooden Coasters,Home,136.38,25,3409.5,6/25/2020,30363 Hooker Way,cash on delivery,delivered
55,Chicken Breasts,Food - Meat,414.3,29,12014.7,6/11/2020,12787 Gulseth Plaza,credit card,delivered
56,Printed Maxi Skirt,Clothing - Skirts,658.76,18,11857.68,7/17/2021,86787 Dorton Point,cash on delivery,delivered
57,Asian Stir-Fry Vegetables,Food - Frozen Foods,962.55,20,19251.0,3/6/2022,6351 Northport Alley,credit card,shipped
58,Gaming Mousepad,Gaming,964.44,97,93550.68,7/2/2021,36 La Follette Road,cash on delivery,pending
59,Wireless Car Charger,Automotive,483.97,65,31458.05,12/30/2022,8787 New Castle Drive,cash on delivery,shipped
60,Reflective Safety Vest,Safety,579.26,45,26066.7,7/10/2020,329 Maryland Drive,cash on delivery,delivered
61,Corn Tortillas,Food - Bakery,427.38,83,35472.54,8/24/2021,524 4th Pass,PayPal,processing
62,Pet Grooming Gloves,Pets,693.31,92,63784.52,2/20/2021,877 Brentwood Lane,credit card,pending
63,Toilet Paper (12 rolls),Food - Household,731.18,8,5849.44,10/20/2022,76 Union Street,cash on delivery,pending
64,Silicone Baking Molds,Kitchen,950.23,74,70317.02,2/25/2020,580 Garrison Drive,PayPal,shipped
65,Artisan Flatbreads,Food - Bakery,278.53,59,16433.27,3/29/2021,659 Toban Road,credit card,pending
66,Granulated Sugar,Food - Baking,147.15,58,8534.7,3/24/2020,95073 Waywood Alley,PayPal,processing
67,Athletic Sports Bra,Clothing - Activewear,955.09,83,79272.47,1/18/2022,6901 Annamark Trail,cash on delivery,pending
68,Peanut Butter Filled Pretzels,Food - Snacks,306.69,84,25761.96,2/5/2020,32 Cardinal Circle,PayPal,processing
69,Sweet and Sour Sauce,Food - Condiments,287.32,14,4022.48,9/26/2022,52 Veith Pass,PayPal,processing
70,Salsa Verde,Food - Condiments,782.38,100,78238.0,8/16/2022,31 Swallow Park,PayPal,pending
71,Biodegradable Phone Case,Accessories,798.47,10,7984.7,12/22/2022,5 Mockingbird Street,cash on delivery,delivered
72,Voice-Controlled Speaker,Audio,830.18,33,27395.94,5/1/2022,26 Ridgeview Street,cash on delivery,pending
73,LED Strip Lights Kit,Home,514.7,5,2573.5,2/19/2022,5 Merrick Avenue,cash on delivery,shipped
74,Set of Decorative Storage Bins,Home,434.88,48,20874.24,2/26/2020,99444 Chinook Way,credit card,shipped
75,Bamboo Bathtub Caddy,Home,218.1,79,17229.9,2/12/2022,14 Coolidge Junction,PayPal,shipped
76,Spinach Pizza Rolls,Food - Frozen Foods,470.24,43,20220.32,5/23/2020,193 Westend Hill,cash on delivery,processing
77,Self-Inflating Camping Mattress,Outdoor,954.0,45,42930.0,7/24/2020,45450 David Plaza,cash on delivery,delivered
78,Adjustable Pet Grooming Table,Pets,657.89,68,44736.52,3/10/2022,2 Corscot Park,credit card,pending
79,High-Speed Hand Blender,Kitchen,568.22,51,28979.22,10/20/2022,866 Pearson Court,cash on delivery,processing
80,Chocolate Fudge Ice Cream,Food - Frozen Desserts,747.13,94,70230.22,11/10/2022,006 Debra Court,credit card,shipped
81,Pet Grooming Glove,Pets,631.94,82,51819.08,10/21/2021,58 Ridgeview Lane,credit card,delivered
82,Photo Album,Home,211.04,39,8230.56,2/29/2020,9141 Mallard Avenue,PayPal,pending
83,Beard Grooming Kit,Grooming,149.67,26,3891.42,10/28/2022,3166 Spenser Junction,cash on delivery,pending
84,Walnut Halves,Food - Nuts,893.04,94,83945.76,11/3/2022,77 Muir Lane,credit card,processing
85,Foot Massager,Health,984.92,41,40381.72,11/7/2021,58 Straubel Terrace,PayPal,processing
86,Lockable Bicycle Chain,Outdoor,747.75,5,3738.75,5/27/2022,2 Mayer Hill,credit card,delivered
87,Almond Coconut Granola,Food - Breakfast Foods,710.7,36,25585.2,10/12/2022,9 Independence Center,cash on delivery,processing
88,Banana Chips,Food - Snacks,152.26,32,4872.32,6/9/2022,93 Nevada Avenue,cash on delivery,delivered
89,Creamy Ranch Dressing,Food - Dressings,894.4,95,84968.0,11/25/2020,784 Jenna Junction,cash on delivery,processing
90,Fresh Strawberries,Food - Produce,382.98,28,10723.44,11/11/2020,647 Heath Center,cash on delivery,pending
91,Chocolate Chip Cliff Bars,Food - Snacks,794.29,90,71486.1,5/23/2022,3 Linden Drive,credit card,processing
92,Portable Grill Cover,Outdoor,426.06,28,11929.68,5/12/2021,6 Roxbury Crossing,cash on delivery,shipped
93,Shredded Cheese,Food - Dairy,682.11,91,62072.01,4/18/2020,42633 Dottie Circle,PayPal,processing
94,Lightweight Rain Jacket,Clothing - Outerwear,900.64,74,66647.36,2/4/2022,64 Towne Circle,credit card,processing
95,Chia Seeds,Food - Grains,345.09,25,8627.25,10/2/2020,7000 Burning Wood Plaza,PayPal,processing
96,Garden Hoses with Expandable Features,Garden,150.98,93,14041.14,12/6/2020,5 Clemons Plaza,cash on delivery,processing
97,Ergonomic Gaming Chair,Gaming,582.58,8,4660.64,7/4/2022,7492 Gateway Plaza,PayPal,delivered
98,Ramen Noodle Soup Cups,Food - Prepared Meals,598.94,79,47316.26,1/18/2022,74107 Kenwood Drive,credit card,delivered
99,Hydration Backpack,Outdoor,774.22,24,18581.28,9/11/2020,52950 Grayhawk Crossing,credit card,shipped
100,Travel Pillow,Travel,154.24,90,13881.6,4/5/2020,67 Lakewood Gardens Alley,cash on delivery,processing
101,Ginger Tea,Food - Beverages,988.42,3,2965.26,9/23/2020,47131 Transport Hill,cash on delivery,shipped
102,Avocado Oil,Food - Oils,462.39,31,14334.09,10/11/2021,4 Northland Road,cash on delivery,shipped
103,Teriyaki Chicken Wings,Food - Frozen Food,651.45,79,51464.55,7/29/2021,737 Sugar Trail,credit card,pending
104,Chocolate Chip Pancake Mix,Food - Bakery,986.25,22,21697.5,4/21/2022,068 Blue Bill Park Drive,cash on delivery,processing
105,Classic Baseball Cap,Clothing - Accessories,377.78,41,15488.98,5/2/2021,090 Prentice Circle,credit card,shipped
106,Portable Bluetooth Keyboard,Electronics,525.18,16,8402.88,1/25/2021,777 Granby Alley,PayPal,pending
107,Organic Coconut Flour,Food - Baking,651.05,83,54037.15,3/10/2020,879 Doe Crossing Terrace,cash on delivery,shipped
108,Compact Pop-Up Tent,Outdoor,305.01,55,16775.55,9/25/2022,244 Amoth Trail,PayPal,pending
109,Inflatable Paddle Board,Outdoor,669.06,12,8028.72,3/16/2020,39991 Waywood Parkway,credit card,delivered
110,Wireless Keyboard and Mouse Combo,Electronics,577.2,58,33477.6,11/27/2020,5 Carberry Crossing,cash on delivery,shipped
111,Wireless Charging Station,Electronics,821.29,39,32030.31,3/19/2020,752 Moulton Point,credit card,processing
112,Grilled Vegetable Medley,Food - Vegetables,763.67,36,27492.12,6/17/2020,70059 Mayfield Road,PayPal,processing
113,Instant Camera,Photography,709.07,66,46798.62,9/2/2020,4678 Rigney Plaza,PayPal,delivered
114,Warm Wool Sweater,Clothing - Tops,800.07,51,40803.57,8/26/2021,133 School Avenue,cash on delivery,processing
115,Teriyaki Chicken Bowl,Food - Prepared Meals,192.36,56,10772.16,1/16/2021,2 Barby Court,credit card,delivered
116,Chickpea Pasta,Food - Pasta,452.58,40,18103.2,11/20/2022,21518 Continental Lane,cash on delivery,processing
117,Vegan Mac & Cheese,Food - Frozen,828.75,14,11602.5,12/20/2022,72 Kings Center,credit card,processing
118,Coconut Almond Granola,Food - Breakfast,60.4,90,5436.0,3/11/2022,76130 Annamark Pass,PayPal,processing
